API_Label,top,bottom,td,lateral_length_ft,used_td,Comment
05-123-31642,6280,11709,11709,5429,TRUE,
05-123-32812,6565,9965,10080,3400,FALSE,
05-123-33023,6472,10058,10140,3586,FALSE,
05-123-33065,6185,9977,10142,3792,FALSE,
05-123-33067,6415,8991,9269,2576,FALSE,
05-123-33080,6882,10353,10435,3471,FALSE,
05-123-33082,6728,10317,10400,3589,FALSE,
05-123-33086,6556,10270,10400,3714,FALSE,
05-123-33087,6476,10167,10251,3691,FALSE,
05-123-33097,6459,10281,10382,3822,FALSE,
05-123-33166,6550,10243,10328,3693,FALSE,
05-123-33231,6619,10341,10434,3722,FALSE,
05-123-33238,6594,10238,10320,3644,FALSE,
05-123-33267,6586,9584,10442,2998,FALSE,
05-123-33311,6807,11533,10616,4726,FALSE,
05-123-33330,6539,10226,10354,3687,FALSE,
05-123-33368,8673,10787,10890,2114,FALSE,
05-123-33413,6215,9900,9981,3685,FALSE,
05-123-33436,6511,10136,10235,3625,FALSE,
05-123-33451,6554,10228,10317,3674,FALSE,
05-123-33475,6774,10507,10590,3733,FALSE,
05-123-33493,6151,9766,9850,3615,FALSE,
05-123-33563,6328,9964,10048,3636,FALSE,
05-123-33564,6213,9828,9913,3615,FALSE,
05-123-33681,6776,10743,10743,3967,FALSE,
05-123-33688,6218,9236,9345,3018,FALSE,
05-123-33689,6295,10240,10240,3945,FALSE,
05-123-33800,6523,9974,10097,3451,FALSE,
05-123-33801,6411,10631,10631,4220,FALSE,
05-123-33822,6746,10466,10615,3720,FALSE,
05-123-33945,6604,10359,10459,3755,FALSE,
05-123-33955,6580,10547,10553,3967,FALSE,
05-123-33956,6735,10750,10750,4015,FALSE,
05-123-33959,6534,10469,10469,3935,FALSE,
05-123-33960,6187,10183,10183,3996,FALSE,
05-123-34100,6976,10845,10845,3869,FALSE,
05-123-34152,6367,9958,10079,3591,FALSE,
05-123-34351,6477,10324,10407,3847,FALSE,
05-123-34384,6772,10441,10560,3669,FALSE,
05-123-34387,6341,10162,10162,3821,TRUE,
05-123-34404,6966,10618,10618,3652,FALSE,
05-123-34418,6616,10277,10357,3661,FALSE,
