,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,31,PR,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,102.0,148.0,152.0,,98.0,39.0,418.0,,418.0,,,,,,144.0,,,M
1,2024-04-01,30,PR,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,106.0,115.0,119.0,,102.0,36.0,400.0,,395.0,,5.0,1007.0,,,160.0,,,M
2,2024-03-01,31,PR,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,103.0,168.0,165.0,,106.0,39.0,506.0,,506.0,,,,,,191.0,,,M
3,2024-02-01,29,PR,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,79.0,163.0,139.0,,103.0,37.0,557.0,,550.0,,7.0,1044.0,,,238.0,,,M
4,2024-01-01,31,PR,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,104.0,165.0,190.0,,79.0,34.0,631.0,,604.0,,27.0,1055.0,,,291.0,,,M
5,2023-12-01,31,PR,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,70.0,162.0,128.0,,104.0,39.0,553.0,,549.0,,4.0,3436.0,,,253.0,,,M
6,2023-11-01,30,PR,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,119.0,188.0,237.0,,70.0,37.0,678.0,,568.0,,110.0,1141.0,,,378.0,,,M
7,2023-10-01,31,PR,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,134.0,207.0,222.0,,119.0,36.0,752.0,,616.0,,136.0,939.0,,,507.0,,,M
8,2023-09-01,30,PR,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,44.0,312.0,222.0,,134.0,36.0,565.0,,565.0,,,,,,625.0,,,M
9,2023-08-01,14,PR,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,5.0,103.0,64.0,,44.0,35.0,161.0,,161.0,,,,,,248.0,,,M
10,2023-07-01,0,SI,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,5.0,,,,5.0,,,,,,,,,,,,,
11,2023-06-01,0,SI,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,5.0,,,,5.0,,,,,,,,,,,,,
12,2023-05-01,0,SI,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,5.0,,,,5.0,,,,,,,,,,,,,
13,2023-04-01,0,SI,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,5.0,,,,5.0,,,,,,,,,,,,,
14,2023-03-01,0,SI,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,5.0,,,,5.0,,,,,,,,,,,,,
15,2023-02-01,0,SI,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,5.0,,,,5.0,,,,,,,,,,,,,
16,2023-01-01,15,PR,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,52.0,16.0,63.0,,5.0,39.7,159.0,,159.0,,,,,,,,,
17,2022-12-01,26,PR,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,94.0,84.0,126.0,,52.0,38.8,383.0,,383.0,,,,,,26.0,,,M
18,2022-11-01,30,PR,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,111.0,145.0,162.0,,94.0,38.0,664.0,,471.0,,193.0,1359.0,,,23.0,,,M
19,2022-10-01,31,PR,VERDAD RESOURCES LLC,123,37244,0,NIOBRARA,68.0,182.0,139.0,,111.0,38.2,762.0,,518.0,,244.0,1278.0,,,29.0,,,M
