API,API_Label,Operator,BH_Status,MD,TVD,Deviation,Field_Code,lat_bhl,long_bhl,API_County,API_Seq,Operat_Num,Citing_Typ,Spud_Date,Ground_Ele,Max_MD,Max_TVD,Facil_Id,Facil_Type,Facil_Stat,Well_Class,Stat_Date,Loc_Qual,Loc_ID,Loc_Name,Dist_N_S,Dir_N_S,Dist_E_W,Dir_E_W,Qtr_Qtr,Section,Township,Range,Meridian,lat_shl,long_shl,twprge,lat_midpoint,long_midpoint,interval_top,interval_bottom,well_td,lateral_length_ft,calced_lat_by_td,Comment
1233164201,05-123-31642,VERDAD RESOURCES LLC,Actual,11706,6367,Horizontal,16950,40.74465,-104.09018,123,31642,10651,ACTUAL,10/7/2010,5011,11709,7596,417317,WELL,PR,OW,2/1/2024,ACTUAL LatLong,417324,State 16-11-9-60H,700,N,700,W,NWNW,16,9N,60W,6,40.755031,-104.104749,9n60w,40.7498405,-104.0974645,6280,11709,11709,5429,TRUE,
1233281200,05-123-32812,NOBLE ENERGY INC,Actual,10080,6336,Horizontal,16950,40.65689,-104.09359,123,32812,100322,ACTUAL,2/15/2011,4907,10080,6335,421061,WELL,TA,OW,3/1/2022,ACTUAL LatLong,421062,State 8-60 16-1H,600,N,1980,E,NWNE,16,8N,60W,6,40.667909,-104.093667,8n60w,40.6623995,-104.0936285,6565,9965,10080,3400,FALSE,
1233302300,05-123-33023,NOBLE ENERGY INC,Actual,10140,5759,Horizontal,16950,40.75685,-103.86228,123,33023,100322,ACTUAL,6/29/2011,4787,10140,5759,421701,WELL,SI,OW,2/1/2021,ACTUAL LatLong,421702,Rohn PC LD 16-96HN,250,S,250,W,SWSW,9,9N,58W,6,40.75928,-103.87794,9n58w,40.758065,-103.87011,6472,10058,10140,3586,FALSE,
1233306500,05-123-33065,NOBLE ENERGY INC,Actual,6200,6199,Directional,16950,40.77184,-103.85792,123,33065,100322,ACTUAL,3/22/2011,4717,10142,6199,421795,WELL,PA,OW,9/29/2017,ACTUAL LatLong,421742,Fiscus Mesa 9-10H,501,N,501,W,NWNW,10,9N,58W,6,40.771792,-103.858169,9n58w,40.771816,-103.8580445,6185,9977,10142,3792,FALSE,
1233306700,05-123-33067,NOBLE ENERGY INC,Actual,9270,5839,Horizontal,16950,40.76011,-103.8924,123,33067,100322,ACTUAL,7/25/2012,4788,9269,5839,421807,WELL,TA,OW,3/12/2020,ACTUAL LatLong,421826,Fiscus Mesa 07-08H,501,S,501,E,SESE,8,9N,58W,6,40.75995,-103.88066,9n58w,40.76003,-103.88653,6415,8991,9269,2576,FALSE,
1233308000,05-123-33080,NOBLE ENERGY INC,Actual,10391,6134,Horizontal,16950,40.73083,-103.9708,123,33080,100322,ACTUAL,1/11/2013,4916,10435,6134,421831,WELL,PR,OW,3/1/2024,ACTUAL LatLong,421847,LC22-04 MULTI,501,N,501,W,NWNW,22,9N,59W,6,40.742052,-103.971837,9n59w,40.736441,-103.9713185,6882,10353,10435,3471,FALSE,
1233308200,05-123-33082,NOBLE ENERGY INC,Actual,10400,6172,Horizontal,16950,40.77083,-103.95762,123,33082,100322,ACTUAL,5/27/2013,4978,10400,6172,421837,WELL,PA,OW,3/8/2022,ACTUAL LatLong,421861,TIMBRO LC 10-72HN,275,S,660,E,SESE,10,9N,59W,6,40.759007,-103.957195,9n59w,40.7649185,-103.9574075,6728,10317,10400,3589,FALSE,
1233308600,05-123-33086,NOBLE ENERGY INC,Actual,10400,6004,Horizontal,16950,40.7601,-103.93292,123,33086,100322,ACTUAL,6/16/2012,4908,10400,6004,421841,WELL,TA,OW,11/1/2023,ACTUAL LatLong,421859,Igo Creek 08-12H,501,N,501,W,NWNW,12,9N,59W,6,40.77144,-103.93402,9n59w,40.76577,-103.93347,6556,10270,10400,3714,FALSE,
1233308700,05-123-33087,NOBLE ENERGY INC,Actual,10251,5909,Horizontal,16950,40.75662,-103.891,123,33087,100322,ACTUAL,2/3/2013,4868,10251,5909,421843,WELL,PR,OW,5/1/2024,ACTUAL LatLong,421829,Fiscus Mesa 15-17H,501,S,2412,W,SESW,17,9N,58W,6,40.745262,-103.888992,9n58w,40.750941,-103.889996,6476,10167,10251,3691,FALSE,
1233309700,05-123-33097,NOBLE ENERGY INC,Actual,10382,5962,Horizontal,16950,40.75649,-103.91987,123,33097,100322,ACTUAL,8/25/2012,4858,10382,5962,421864,WELL,PR,OW,3/1/2024,ACTUAL LatLong,421834,Igo Creek 09-13H,501,S,501,E,SESE,13,9N,59W,6,40.74509,-103.91862,9n59w,40.75079,-103.919245,6459,10281,10382,3822,FALSE,
1233316600,05-123-33166,NOBLE ENERGY INC,Actual,10328,6007,Horizontal,16950,40.72719,-103.91923,123,33166,100322,ACTUAL,1/23/2013,4884,10328,6007,422134,WELL,PR,OW,5/1/2024,ACTUAL LatLong,422133,Igo Creek 19-25H,501,S,501,E,SESE,25,9N,59W,6,40.71588,-103.91824,9n59w,40.721535,-103.918735,6550,10243,10328,3693,FALSE,
1233323100,05-123-33231,NOBLE ENERGY INC,Actual,10435,6086,Horizontal,16950,40.72696,-103.98562,123,33231,100322,ACTUAL,12/30/2012,4842,10434,6086,422365,WELL,PR,OW,5/1/2022,ACTUAL LatLong,422406,Rainbow LC28-74-1HNA Mt,165,S,2643,W,SESW,28,9N,59W,6,40.71462,-103.98287,9n59w,40.72079,-103.984245,6619,10341,10434,3722,FALSE,
