API,API_Label,Operator,BH_Status,MD,TVD,Deviation,Field_Code,lat_bhl,long_bhl,API_County,API_Seq,Operat_Num,Citing_Typ,Spud_Date,Ground_Ele,Max_MD,Max_TVD,Facil_Id,Facil_Type,Facil_Stat,Well_Class,Stat_Date,Loc_Qual,Loc_ID,Loc_Name,Dist_N_S,Dir_N_S,Dist_E_W,Dir_E_W,Qtr_Qtr,Section,Township,Range,Meridian,lat_shl,long_shl,twprge,lat_midpoint,long_midpoint,lateral_length_ft
1233164201,05-123-31642,VERDAD RESOURCES LLC,Actual,11706,6367.0,Horizontal,16950,40.74465,-104.09018,123,31642,10651,ACTUAL,2010-10-07,5011.0,11709.0,7596.0,417317,WELL,PR,OW,2/1/2024,ACTUAL LatLong,417324.0,State 16-11-9-60H,700.0,N,700.0,W,NWNW,16,9N,60W,6,40.755031,-104.104749,9n60w,40.749840500000005,-104.0974645,5531.698516983312
1233281200,05-123-32812,NOBLE ENERGY INC,Actual,10080,6336.0,Horizontal,16950,40.65689,-104.09359,123,32812,100322,ACTUAL,2011-02-15,4907.0,10080.0,6335.0,421061,WELL,TA,OW,3/1/2022,ACTUAL LatLong,421062.0,State 8-60 16-1H,600.0,N,1980.0,E,NWNE,16,8N,60W,6,40.667909,-104.093667,8n60w,40.6623995,-104.0936285,4014.594797181063
1233302300,05-123-33023,NOBLE ENERGY INC,Actual,10140,5759.0,Horizontal,16950,40.75685,-103.86228,123,33023,100322,ACTUAL,2011-06-29,4787.0,10140.0,5759.0,421701,WELL,SI,OW,2/1/2021,ACTUAL LatLong,421702.0,Rohn PC LD 16-96HN,250.0,S,250.0,W,SWSW,9,9N,58W,6,40.75928,-103.87794,9n58w,40.758065,-103.87011,4427.873055119524
1233306500,05-123-33065,NOBLE ENERGY INC,Actual,6200,6199.0,Directional,16950,40.77184,-103.85792,123,33065,100322,ACTUAL,2011-03-22,4717.0,10142.0,6199.0,421795,WELL,PA,OW,9/29/2017,ACTUAL LatLong,421742.0,Fiscus Mesa 9-10H,501.0,N,501.0,W,NWNW,10,9N,58W,6,40.771792,-103.858169,9n58w,40.771816,-103.8580445,71.15162506477701
1233306700,05-123-33067,NOBLE ENERGY INC,Actual,9270,5839.0,Horizontal,16950,40.76011,-103.8924,123,33067,100322,ACTUAL,2012-07-25,4788.0,9269.0,5839.0,421807,WELL,TA,OW,3/12/2020,ACTUAL LatLong,421826.0,Fiscus Mesa 07-08H,501.0,S,501.0,E,SESE,8,9N,58W,6,40.75995,-103.88066,9n58w,40.76003,-103.88653,3252.887196332254
1233308000,05-123-33080,NOBLE ENERGY INC,Actual,10391,6134.0,Horizontal,16950,40.73083,-103.9708,123,33080,100322,ACTUAL,2013-01-11,4916.0,10435.0,6134.0,421831,WELL,PR,OW,3/1/2024,ACTUAL LatLong,421847.0,LC22-04 MULTI,501.0,N,501.0,W,NWNW,22,9N,59W,6,40.742052,-103.971837,9n59w,40.736441,-103.9713185,4098.636990389741
1233308200,05-123-33082,NOBLE ENERGY INC,Actual,10400,6172.0,Horizontal,16950,40.77083,-103.95762,123,33082,100322,ACTUAL,2013-05-27,4978.0,10400.0,6172.0,421837,WELL,PA,OW,3/8/2022,ACTUAL LatLong,421861.0,TIMBRO LC 10-72HN,275.0,S,660.0,E,SESE,10,9N,59W,6,40.759007,-103.957195,9n59w,40.76491849999999,-103.9574075,4309.143540051584
1233308600,05-123-33086,NOBLE ENERGY INC,Actual,10400,6004.0,Horizontal,16950,40.7601,-103.93292,123,33086,100322,ACTUAL,2012-06-16,4908.0,10400.0,6004.0,421841,WELL,TA,OW,11/1/2023,ACTUAL LatLong,421859.0,Igo Creek 08-12H,501.0,N,501.0,W,NWNW,12,9N,59W,6,40.77144,-103.93402,9n59w,40.76577,-103.93347,4142.782897281329
1233308700,05-123-33087,NOBLE ENERGY INC,Actual,10251,5909.0,Horizontal,16950,40.75662,-103.891,123,33087,100322,ACTUAL,2013-02-03,4868.0,10251.0,5909.0,421843,WELL,PR,OW,5/1/2024,ACTUAL LatLong,421829.0,Fiscus Mesa 15-17H,501.0,S,2412.0,W,SESW,17,9N,58W,6,40.745262,-103.888992,9n58w,40.750941,-103.889996,4175.34194713484
1233309700,05-123-33097,NOBLE ENERGY INC,Actual,10382,5962.0,Horizontal,16950,40.75649,-103.91987,123,33097,100322,ACTUAL,2012-08-25,4858.0,10382.0,5962.0,421864,WELL,PR,OW,3/1/2024,ACTUAL LatLong,421834.0,Igo Creek 09-13H,501.0,S,501.0,E,SESE,13,9N,59W,6,40.74509,-103.91862,9n59w,40.750789999999995,-103.919245,4167.82599677028
