a,b,min_months,max_months,discard_gaps,lateral_length_ft,has_produced,sufficient_data,actual_months,API_Label,formations
-3.7519094989994586,-0.0017280634322237197,36,48,True,5342.0,True,True,48,05-123-31642,NIOBRARA
-2.614145115761981,-0.002776686661527051,36,48,True,3745.0,True,True,48,05-123-32812,NIOBRARA
-2.3633570354395936,-0.0023724346280291405,36,48,True,4381.0,True,True,48,05-123-33023,NIOBRARA
-3.798718583568035,-0.0010137090597084472,36,48,True,4409.0,True,True,36,05-123-33065,NIOBRARA
-2.152369138420944,-0.0016322618659288589,36,48,True,3430.0,True,True,48,05-123-33067,NIOBRARA
-2.7557148811713006,-0.002152776660008845,36,48,True,4301.0,True,True,48,05-123-33080,NIOBRARA
-3.1991696991852927,-0.002301682799526101,36,48,True,4228.0,True,True,46,05-123-33082,NIOBRARA
-3.103180710225136,-0.001700828421625262,36,48,True,4396.0,True,True,48,05-123-33086,NIOBRARA
-2.3334206921201948,-0.0021590973232423747,36,48,True,4342.0,True,True,48,05-123-33087,NIOBRARA
-2.5924211815326816,-0.002354428563007658,36,48,True,4420.0,True,True,48,05-123-33097,NIOBRARA
-2.4870873114550873,-0.001884113628843354,36,48,True,4321.0,True,True,48,05-123-33166,NIOBRARA
-2.488773214172603,-0.0031150616513390245,36,48,True,4348.0,True,True,48,05-123-33231,NIOBRARA
-2.3077943803294283,-0.002046077643309367,36,48,True,4314.0,True,True,48,05-123-33238,NIOBRARA
-2.5012180725202944,-0.003220962505838336,36,48,True,4345.0,True,True,48,05-123-33267,NIOBRARA
-2.638080708533609,-0.0029339238128682898,36,48,True,4412.0,True,True,48,05-123-33311,NIOBRARA
-2.411877906569777,-0.002711704983659643,36,48,True,4380.0,True,True,48,05-123-33330,NIOBRARA
-2.9923630838911888,-0.0024138951970253454,36,48,True,4442.0,True,True,48,05-123-33368,NIOBRARA
-2.4698454653348665,-0.002097482645167294,36,48,True,4327.0,True,True,48,05-123-33413,NIOBRARA
-3.593533593190448,-0.001687178601413003,36,48,True,4282.0,True,True,48,05-123-33436,NIOBRARA
-2.5538441978228743,-0.0026654676689244193,36,48,True,4288.0,True,True,48,05-123-33451,NIOBRARA
-3.3153613977445193,-0.0019780500660240286,36,48,True,4314.0,True,True,48,05-123-33475,NIOBRARA
-2.9833854591632307,-0.0018552780086599466,36,48,True,4328.0,True,True,48,05-123-33493,NIOBRARA
-2.4295244417596713,-0.0026718179974725364,36,48,True,4262.0,True,True,48,05-123-33563,NIOBRARA
-4.018925991047192,-0.0023978516937714876,36,48,True,4281.0,True,True,48,05-123-33681,NIOBRARA
-2.1214679177499,-0.0028174666365201385,36,48,True,3533.0,True,True,48,05-123-33688,NIOBRARA
-2.5480260614216443,-0.0024619711504024347,36,48,True,4344.0,True,True,48,05-123-33689,NIOBRARA
-3.202539561231345,-0.0016200981820058415,36,48,True,4028.0,True,True,48,05-123-33800,NIOBRARA
-3.8542172980457288,-0.0022984846996179312,36,48,True,4364.0,True,True,48,05-123-33801,NIOBRARA
-3.722213129032858,-0.0024815180047757035,36,48,True,4288.0,True,True,48,05-123-33822,NIOBRARA
-2.550969362958403,-0.002288614850853706,36,48,True,4368.0,True,True,48,05-123-33945,NIOBRARA
-2.6987752627237813,-0.0028740664464432146,36,48,True,4180.0,True,True,48,05-123-33955,NIOBRARA
-3.5777741780791716,-0.00275468303621484,36,48,True,4476.0,True,True,48,05-123-33956,NIOBRARA
-2.7949543318053407,-0.0025066634832125764,36,48,True,4283.0,True,True,48,05-123-33959,NIOBRARA
-3.0510934584817613,-0.0025858333164980964,36,48,True,5784.0,True,True,48,05-123-33960,NIOBRARA
-3.56060986421772,-0.0024264913062160844,36,48,True,4329.0,True,True,48,05-123-34100,NIOBRARA
-2.197725398724903,-0.001988969141911988,36,48,True,4313.0,True,True,48,05-123-34152,NIOBRARA
-3.204655874982479,-0.0016180593101472946,36,48,True,4393.0,True,True,48,05-123-34351,NIOBRARA
-3.0696463910225735,-0.0019130765726544277,36,48,True,4313.0,True,True,48,05-123-34384,NIOBRARA
-3.4442597612475674,-0.003216462753647699,36,48,True,3779.0,True,True,48,05-123-34387,NIOBRARA
-3.507053564469993,-0.002098514744288276,36,48,True,4397.0,True,True,48,05-123-34404,NIOBRARA
-3.0107496640316596,-0.002087006020832844,36,48,True,4260.0,True,True,48,05-123-34418,NIOBRARA
-3.126320416986612,-0.0016001856135423687,36,48,True,6691.0,True,True,48,05-123-34420,NIOBRARA
-2.3545915826218424,-0.0031714520822133546,36,48,True,4007.0,True,True,48,05-123-34430,NIOBRARA
-3.6793590690989357,-0.0022185790184195194,36,48,True,3801.0,True,True,48,05-123-34438,NIOBRARA
-3.1159310533432465,-0.002173404019712542,36,48,True,4013.0,True,True,48,05-123-34685,NIOBRARA
-3.16468836359846,-0.002118260432646361,36,48,True,4649.0,True,True,48,05-123-34749,NIOBRARA
-3.1416903987288554,-0.002602622253461747,36,48,True,3948.0,True,True,48,05-123-34824,NIOBRARA
-3.524578348508388,-0.0026345667351753187,36,48,True,9488.0,True,True,48,05-123-34825,NIOBRARA
-3.226760160402175,-0.0023128898626778144,36,48,True,3960.0,True,True,48,05-123-34880,NIOBRARA
-3.695331549129141,-0.00194244162424163,36,48,True,4077.0,True,True,48,05-123-34888,NIOBRARA
-2.56376441423071,-0.001991152266897124,36,48,True,4020.0,True,True,48,05-123-34896,NIOBRARA
