param_set,exp_reg_weight,knn_k,idw_power,MAPE_24,MAPE_36,MAPE_48,MAE_24,MAE_36,MAE_48,RMSE_24,RMSE_36,RMSE_48
"(2.0, 2, 0.0)",2.0,2,0.0,0.4786219206644029,0.46201608825665,0.4479080330694923,36976.047614985706,42095.05641743647,44388.36785898959,48277.169909419186,57973.453935070036,64720.00958973949
"(2.0, 2, 0.05)",2.0,2,0.05,0.4784457378967894,0.4621475340307694,0.4481947891687884,36920.39982895662,42057.19431644502,44366.48824060567,48265.77748850391,57961.50174077703,64720.402408669106
"(2.0, 2, 0.1)",2.0,2,0.1,0.47831648344346905,0.46236580190465687,0.4486854091659319,36869.92987174117,42025.746438799004,44361.017392533344,48267.45456039081,57965.81020897675,64740.505163734044
"(2.0, 2, 0.15)",2.0,2,0.15,0.47829221219341334,0.4626278630367757,0.4492628134181884,36838.91493491241,41996.321127309595,44362.187287162116,48282.41647114742,57986.62585052755,64780.38803833242
"(2.0, 2, 0.2)",2.0,2,0.2,0.47831529882396123,0.46294634389228306,0.4499903419235324,36811.599572844294,41971.38640718084,44377.241266654026,48310.610459881136,58023.90681932147,64839.84031738278
"(2.0, 2, 0.25)",2.0,2,0.25,0.47841553144507803,0.4633715663999512,0.4508047503853338,36791.99525845579,41955.601026876284,44398.96183346964,48351.708417031434,58077.311042214,64918.35318419572
"(2.0, 2, 0.3)",2.0,2,0.3,0.4788798584939563,0.4638695654456864,0.45168147468622494,36819.47065637081,41944.39419107938,44425.239411835544,48405.11803853287,58146.20287959045,65015.119708842656
"(2.0, 2, 0.35)",2.0,2,0.35,0.47951308692865524,0.4646254931945869,0.4528532822965733,36869.17290208958,41979.99866346931,44483.982393039136,48470.01150472651,58229.678406741106,65129.054285944694
"(2.0, 2, 0.4)",2.0,2,0.4,0.480290735155407,0.4656465686015059,0.4541185391405672,36938.49375285554,42061.42265681461,44563.17588183421,48545.3683299528,58326.606679434386,65258.83040005007
"(2.0, 2, 0.45)",2.0,2,0.45,0.48121993742226454,0.4667337860401415,0.4554221742971576,37025.77310477842,42150.15449165269,44649.621039798745,48630.027302042814,58435.68226175917,65402.93265227133
"(2.0, 2, 0.5)",2.0,2,0.5,0.48217585564853926,0.46797794549303945,0.4567504924843074,37115.40214109023,42255.513012562755,44738.39441195926,48722.7417886874,58555.48327915553,65559.71715800703
"(2.0, 2, 0.55)",2.0,2,0.55,0.48316281142785666,0.46934470666947803,0.4581514063048376,37207.03590296872,42386.52429668665,44843.08396781578,48822.23310835986,58684.52937161936,65727.47396100251
"(2.0, 2, 0.6)",2.0,2,0.6,0.4841372308557488,0.4707659842019522,0.4595794492625561,37296.137178789584,42523.02750946918,44957.6088555456,48927.237850426456,58821.334908822275,65904.48582696488
"(2.0, 2, 0.65)",2.0,2,0.65,0.48513413785100495,0.47218632313081654,0.4610084924818617,37386.90688706137,42657.8854989421,45073.3355842936,49036.54656758186,58964.45428555833,66089.07925260029
"(2.0, 2, 0.7)",2.0,2,0.7,0.4861215075607386,0.47357566907561627,0.46245557925317,37475.41820441644,42788.50582398022,45193.61565096027,49149.03277373921,59112.517646515524,66279.66526949112
"(2.0, 2, 0.75)",2.0,2,0.75,0.4870879049868888,0.4749341314339408,0.46396409528776816,37560.808830581096,42914.78220338655,45331.92383313867,49263.672408045786,59264.25670955868,66474.76924337017
"(2.0, 2, 0.8)",2.0,2,0.8,0.4880655643772891,0.47626228856405967,0.46550698751913694,37644.799243821006,43037.35861101347,45475.09258491741,49379.55476259541,59418.52132433641,66673.05013187333
"(2.0, 2, 0.85)",2.0,2,0.85,0.48904106839978806,0.4775640088781632,0.46705741688006813,37726.938451410024,43156.978514635906,45618.917546950324,49495.88632511215,59574.28799583309,66873.31048594211
"(2.0, 2, 0.9)",2.0,2,0.9,0.49000791280865075,0.4788355275435271,0.4686028919500148,37807.51344493871,43273.21811000475,45761.28971502425,49611.989132640876,59730.66187345774,67074.49889214992
"(2.0, 2, 0.95)",2.0,2,0.95,0.4909684728071305,0.48007393004266347,0.47011224421219583,37885.38336011038,43385.75535682131,45899.81446967616,49727.295164923045,59886.87374021177,67275.70664590728
"(2.0, 2, 1.0)",2.0,2,1.0,0.4918972838603885,0.4812743283715809,0.47158939826005375,37959.791813466756,43494.03467932555,46034.742692451706,49841.33811683938,60042.27341946792,67476.16032603402
"(2.0, 2, 1.05)",2.0,2,1.05,0.49279115211299,0.48246391398278154,0.47302765065231983,38030.6040331734,43601.66239158987,46165.12830958355,49953.74364786931,60196.32082013077,67675.21170595958
"(2.0, 2, 1.1)",2.0,2,1.1,0.4936563487108859,0.48362281036973026,0.474425256673336,38098.16231307922,43705.50254595713,46291.18746830581,50064.218959708756,60348.57561568243,67872.32615880712
"(2.0, 2, 1.15)",2.0,2,1.15,0.4944900546833906,0.4847456653645773,0.47579164863409407,38162.47242190059,43805.3072287746,46413.44021689786,50172.54232800359,60498.68633149385,68067.07044048779
"(2.0, 2, 1.2)",2.0,2,1.2,0.4953088109409764,0.48584967578893545,0.4771211464983239,38224.91451184246,43903.95035802642,46531.676380977195,50278.553023142435,60646.37941587091,68259.10049289512
"(2.0, 2, 1.25)",2.0,2,1.25,0.49610093039184877,0.4869155734879457,0.47841165666300045,38284.77497377487,43998.5995407405,46645.81203719949,50382.14190145029,60791.44870155477,68448.14970906652
"(2.0, 2, 1.3)",2.0,2,1.3,0.49686270775677127,0.48795316855204973,0.47967280711300314,38341.75286801015,44089.70476388796,46756.55915272194,50483.24282986629,60933.74552740414,68634.01794474167
"(2.0, 2, 1.35)",2.0,2,1.35,0.4975953644376845,0.48896036280389066,0.4808923371864009,38396.007440295245,44177.30705437809,46863.330360388354,50581.825019683354,61073.1696827758,68816.56144184209
"(2.0, 2, 1.4)",2.0,2,1.4,0.49830635974738213,0.4899321681069738,0.4820792291847722,38448.34928850901,44261.31966734979,46966.83381480686,50677.88628274915,61209.66125600302,68995.68374265145
"(2.0, 2, 1.45)",2.0,2,1.45,0.49900255612805144,0.490869910076764,0.48323160995905556,38499.08278889798,44341.92428345108,47067.11462681978,50771.44718138775,61343.193409088206,69171.32761223237
"(2.0, 2, 1.5)",2.0,2,1.5,0.49967309047855357,0.4917751022582427,0.4843527058021307,38547.526584865234,44419.31380892398,47164.5301051516,50862.54601649029,61473.76605909595,69343.46794489217
"(2.0, 2, 1.55)",2.0,2,1.55,0.5003361884469866,0.4926896171327212,0.4854353049275632,38595.59140351723,44496.37564560184,47258.380776292426,50951.2345827955,61601.40041897046,69512.10560333684
"(2.0, 2, 1.6)",2.0,2,1.6,0.5009769232043071,0.4935890526136861,0.4864816611567357,38641.731923250874,44571.27912111553,47348.94448401513,51037.574613149576,61726.134333361,69677.26212262487
"(2.0, 2, 1.65)",2.0,2,1.65,0.501598438179651,0.49445841865498785,0.4874970639535016,38686.26405999169,44643.380495454614,47436.74125677864,51121.63483200878,61848.01833582165,69838.97520216252
"(2.0, 2, 1.7)",2.0,2,1.7,0.5022007456971116,0.4953006800562999,0.4884871325613961,38729.181928414095,44712.93211711462,47522.29177899598,51203.4885407265,61967.112350284515,69997.29490554243
"(2.0, 2, 1.75)",2.0,2,1.75,0.5027821808830251,0.4961169368183211,0.4894630343823619,38770.36746044256,44780.141770084316,47607.99527416224,51283.2116618357,62083.482960270216,70152.28048836715
"(2.0, 2, 1.8)",2.0,2,1.8,0.5033503668060525,0.49691687561213127,0.4904316832480354,38810.49262286266,44845.84419875644,47694.10993854162,51360.881175567665,62197.20117256942,70303.99777710097
"(2.0, 2, 1.85)",2.0,2,1.85,0.5039072538023908,0.49769228634689766,0.4913818774253064,38849.7427769778,44909.41330905603,47778.493936826686,51436.573888513194,62308.340607098595,70452.51702656443
"(2.0, 2, 1.9)",2.0,2,1.9,0.5044456530717197,0.4984626857502872,0.49230461295414873,38887.52127883384,44973.51365765855,47860.54564332723,51510.365481131266,62416.97605055819,70597.91118926342
"(2.0, 2, 1.95)",2.0,2,1.95,0.5049663907932913,0.49921780850337605,0.4932105586979715,38923.91263563845,45036.1243329525,47941.754894265534,51582.32978741553,62523.18231786128,70740.25453585022
"(2.0, 2, 2.0)",2.0,2,2.0,0.5054750430799311,0.4999498891595068,0.49408867428625286,38959.61423621603,45096.78427480421,48020.41409714615,51652.53826623709,62627.033371679565,70879.62157229008
"(2.0, 3, 0.0)",2.0,3,0.0,0.4717374821684642,0.45028813395741774,0.4294792752986982,35509.15573497997,40307.98410073555,42055.35835287567,45348.766180075116,53858.448577514406,58882.5962728533
"(2.0, 3, 0.05)",2.0,3,0.05,0.47064341144483446,0.4493213670821111,0.4289323225431563,35407.520326758044,40194.00014054933,41968.49902578107,45262.67636182388,53739.82209402088,58782.675850927364
